Rank,School System,State,Enrollment,Overall Total Percentage,Federal Total Percentage,Federal Title I,State Total Percentage,State General Formula Assistance,Local Total Percentage,Local Taxes Parent Government Contributions,Other Local Government,Charges
65,Knox County,Tennessee,60372,100,10.6,3,36.5,35.7,52.9,45.3,0,6.8
66,San Francisco County,California,60133,100,5.5,1.2,19.2,10.4,75.3,61.1,0.8,1.2
67,Chesterfield County,Virginia,60060,100,5.6,1,48.2,36.4,46.2,42.3,0.5,2.1
68,Montgomery County,Texas,59764,100,5.9,1.2,22.8,18.4,71.3,67.9,0,1.8
69,El Paso County,Texas,59424,100,15.2,4.4,51.5,46.5,33.3,31.5,0,0.8
70,Dallas County,Texas,57133,100,9.2,2.1,52,44.5,38.8,35.5,0.2,2.1
71,Mobile County,Alabama,56628,100,13.8,4.3,57,47.6,29.1,22,2.5,1.7
72,Harris County,Texas,56282,100,11.3,2.7,57.2,50,31.5,27.8,0,1.9
73,Collin County,Texas,55923,100,2.2,0.1,22.1,18.5,75.7,68.7,0.1,4
74,Howard County,Maryland,55626,100,3,0.6,33.3,16.5,63.7,62.4,0,0.8
75,Forsyth County,North Carolina,55228,100,12.3,4.1,59.7,59.2,28,23.9,0,1.4
76,Arapahoe County,Colorado,54852,100,4.2,0.8,42.5,38.9,53.2,45.6,0.2,6.5
77,Orange County,California,54505,100,10.9,2.4,64.4,47.6,24.7,19.1,2.8,0.3
78,Clayton County,Georgia,54345,100,13.1,3.9,53.4,38.1,33.5,29.1,1.3,1.9
78,King County,Washington,54345,100,13.1,3.9,53.4,38.1,33.5,29.1,1.3,1.9
79,Collin County,Texas,54215,100,5.5,1.5,48.8,35.7,45.7,39.7,0.1,1.6
80,Suffolk County,Massachusetts,54173,100,4.5,0.7,7.7,4.5,87.8,83,0,3.6
81,Orange County,California,53640,100,5.7,2.4,24.1,14.1,70.2,67.8,0.1,1.1
82,Salt Lake County,Utah,53613,100,4,0.8,34.8,18,61.2,57.3,0.9,1.4
