Rank,School System,State,Enrollment,Total Revenue,Federal Total,Federal Titile I,Federal Special Education,Federal Child Nutrition,Federal Other and Nonspecified,State Total,State General Formula Assistance,State Special Education,State Transportation,State Other and Nonspecified,Local Total,Local Total Taxes,Local Property Taxes,Local Parent Government Contribution,Local From Cities and Counties,Local From Other School Systems,grad_rate
41,Alpine,Utah,78957,622816,34283,8173,0.12889294172777588,0.12378889775447395,6159,370427,214437,0.4279417911014856,0.1158352014387578,113055,218106,171958,2.177868966652735,0,0,243,93.3
42,Loudoun County,Virginia,78348,1163229,23931,2180,0.12329606371572982,0.10672895287690816,3729,324345,249207,0.2645504671465768,0.0,54411,814953,0,0.0,756295,0,5245,93.5
43,Greenville County,South Carolina,76918,903136,75126,26081,0.224316804909124,0.31961309446423464,7207,464852,116413,0.28955511063730205,0.0629241529940976,321327,363158,270401,3.5154450193712785,0,30198,95,86.9
44,Long Beach Unified,California,76428,1090404,110084,29158,0.19937719160517087,0.39231695190244414,35704,718731,552222,0.5185534097451195,0.0,126877,261589,175517,2.2965012822525774,0,20873,514,77.7
45,Milwaukee,Wisconsin,76206,1250003,186666,76862,0.30382122142613444,0.6293730152481432,38689,721169,549889,0.635081227199958,0.030470041728997716,120561,342168,226045,2.9662362543631735,0,7691,10475,86.9
46,Katy,Texas,75428,857988,43840,5597,0.12247441268494458,0.17078538473776317,16123,239773,199782,0.0,0.0,39991,574375,533683,7.075396404518216,0,61,0,80.2
47,Fort Bend,Texas,74146,758700,48041,9449,0.14588784290453968,0.17510047743640925,14792,227886,195988,0.0,0.0,31898,482773,459880,6.202357510856958,0,0,54,88.9
48,Brevard County,Florida,73444,739221,73741,18013,0.2517292086487664,0.2870214040629595,16160,338671,152538,0.698954305321061,0.08474483960568596,128575,326809,284062,3.2623086977833453,0,0,20,91.2
49,Fresno Unified,California,73356,1031020,125265,43997,0.2123616336768635,0.7010605812748787,14263,777194,620761,0.512691531708381,0.0,118824,128561,100592,1.371285239107912,0,6179,2202,73.8
50,Guilford County,North Carolina,73059,733610,102342,26721,0.24885366621497693,0.4722895194295022,22935,410464,403146,0.0,0.04178814382896016,4265,220804,0,0.0,199556,0,0,88.4
51,Davis County,Utah,72987,604854,46163,7574,0.15097209092030087,0.17282529765574692,14956,344039,196057,0.4638771288037596,0.09449628015948046,107228,214652,168375,2.3069176702700482,0,0,0,95.5
52,Pasco County,Florida,72493,712320,73877,16677,0.21152387127032954,0.3498130854013491,16507,391263,194442,0.8794228408260107,0.16110521015822218,121390,247180,191648,2.271998675734209,0,0,38,88.3
53,Aldine,Texas,69768,724918,103607,25962,0.2023563811489508,0.5895826166724,22393,358611,325245,0.0,0.0,33366,262700,242860,3.4809654856094485,0,0,0,80.2
54,Granite,Utah,69580,566956,66276,18749,0.14981316470250072,0.3536792181661397,12494,306269,178190,0.470523138832998,0.06987640126473124,90478,194411,162134,2.3301810865191146,0,0,193,89.8
55,Virginia Beach,Virginia,69085,813182,61558,12767,0.2036476803937179,0.23154085546790187,18726,347818,256837,0.4293406672939133,0.0,61320,403806,0,0.0,364905,0,20076,93.2
56,Seminole County,Florida,67808,653710,54731,12225,0.20527076451156206,0.2966464134025484,8472,308680,146978,0.5110606418121756,0.10560700802265219,119887,290299,246576,3.3673312883435584,0,0,0,93.4
58,Douglas County,Colorado,67470,694392,18757,2117,0.12592263228101377,0.060634356010078556,4053,321071,296915,0.17180969319697642,0.06671113087298058,8063,354564,258474,3.8309470875944864,0,1727,1644,97.9
59,Washoe County,Nevada,66671,686170,64866,14900,0.17478363906346087,0.24535405198662086,21955,448206,147212,0.4025588336758111,0.0,274155,173098,154469,2.313989590676606,0,682,202,87.0
60,Mesa Unified,Arizona,63444,559251,67395,20394,0.1818138831095139,0.3817697497005233,11245,257598,253334,0.0,0.0,4264,234258,179607,2.830953281634197,0,22749,4644,86.9
61,Elk Grove Unified,California,63061,766267,56541,15497,0.1750051537400295,0.29885349106420767,11162,558352,417740,0.5330870109893595,0.0,106995,151374,123207,1.953774916350835,0,413,249,86.8
62,Osceola County,Florida,63031,639104,74783,18175,0.18341768336215514,0.4918690802938237,14044,322946,156360,0.5130332693436563,0.12731830369183417,126224,241375,173998,2.3610921610001427,0,0,538,85.7
63,Volusia County,Florida,63028,627975,62497,18412,0.22226629434537032,0.3321063654248905,9144,272148,119605,0.6843625055530875,0.09570349685853906,103377,293330,256743,3.424065494700768,0,0,368,89.3
64,Arlington,Texas,62181,669711,68888,18083,0.16130329200238014,0.4045126324761583,15622,263781,235834,0.0,0.0,27947,337042,316850,5.095607983145977,0,0,0,85.2
65,Knox County,Tennessee,60372,553093,58400,16797,0.22147684356986683,0.3607798317100643,6451,201836,197264,0.0,0.0,4572,292857,0,0.0,250763,0,124,90.6
66,San Francisco Unified,California,60133,998850,54509,12182,0.0,0.29863801905775533,24369,191897,103516,0.0,0.0,88381,752444,610177,8.771257046879418,0,8103,0,87.0
67,Chesterfield County,Virginia,60060,658483,36748,6629,0.19234099234099233,0.18471528471528473,7473,317657,239382,0.30336330336330336,0.0,60055,304078,0,0.0,278742,0,3367,91.4
68,Conroe,Texas,59764,605957,35759,7218,0.16024697142092229,0.18670102402784286,7806,138211,111641,0.0,0.0,26570,431987,411533,6.885968141356,0,0,10,86.8
69,El Paso,Texas,59424,614241,93380,27254,0.18776925148088314,0.4527127086698977,28066,316616,285438,0.0,0.0,31178,204245,193225,3.251632337102854,0,0,151,76.5
70,Garland,Texas,57133,630006,57936,13317,0.17214219452855617,0.37710255018990774,13239,327808,280611,0.0,0.0,47197,244262,223746,3.916230549769835,0,1002,0,78.0
71,Mobile County,Alabama,56628,558061,77276,23951,0.2844176025994208,0.5448188175460903,6367,318206,265774,0.003514162605071696,0.5059158013703469,23584,162579,122737,2.164335664335664,0,13843,1,85.8
72,Pasadena,Texas,56282,600536,67567,16432,0.16451085604633808,0.47375715148715397,15212,343607,300060,0.0,0.0,43547,189362,166827,2.964127074375466,0,71,0,80.2
73,Frisco,Texas,55923,611317,13372,684,0.09586395579636285,0.07660533233195645,3043,135095,113399,0.0,0.0,21696,462850,419713,7.505194642633621,0,349,0,93.6
74,Howard County,Maryland,55626,985502,29160,6246,0.18210908567935857,0.1279797217128681,5665,328277,162353,0.24995505698773954,0.29957214252328046,135356,628065,0,0.0,615277,0,0,95.3
75,Winston-Salem/Forsyth,North Carolina,55228,501655,61608,20630,0.2390635185051061,0.3599804447019628,7894,299720,297226,0.0,0.0,2494,140327,0,0.0,119992,0,0,87.9
76,Cherry Creek,Colorado,54852,655992,27805,5190,0.1683256763654926,0.15098811346897104,5100,279040,255221,0.2083789105228615,0.08189309414424269,7897,349147,299217,5.454987967621965,0,612,612,92.3
77,Santa Ana Unified,California,54505,806802,88330,19290,0.22377763507935053,0.7022291532886891,18568,519178,383882,0.5163562975873773,0.0,107152,199294,153830,2.8223098798275386,0,21296,1360,84.3
78,Clayton County,Georgia,54345,546857,71762,21509,0.16974882693900084,0.6509338485601252,5653,292155,208533,0.6161192382003864,0.042653417977734844,47821,182940,159382,1.9100745238752415,0,7068,0,82.3
78,Clayton County,Georgia,54345,546857,71762,21509,0.16974882693900084,0.6509338485601252,5653,292155,208533,0.6161192382003864,0.042653417977734844,47821,182940,159382,1.9100745238752415,0,7068,0,83.6
79,Seattle,Washington,54215,949343,51998,14597,0.26396753665959605,0.16844046850502628,13958,463470,338935,1.0982016047219405,0.6161578898828738,31591,433875,377068,6.9547357742322236,0,0,553,92.5
80,Plano,Texas,54173,768901,34476,5012,0.171173831982722,0.16785114355859931,11098,59431,34744,0.0,0.0,24687,674994,638086,11.778672032193159,0,6,7,93.6
81,Boston,Massachusetts,53640,1533514,87514,36129,0.30706562266964954,0.33038777032065625,17192,369106,216128,0.0,0.30013049962714394,136879,1076894,0,0.0,1040485,0,1151,84.3
82,Capistrano Unified,California,53613,557883,22218,4694,0.18848040587171022,0.09484639919422529,2334,194390,100422,0.46462611680002985,0.0,69058,341275,319925,5.967302706433141,0,5087,119,84.3
83,Jordan,Utah,53416,423508,27911,4435,0.1516212370825221,0.16255429084918377,6694,236866,140992,0.48395611801707356,0.12015126553841546,63605,158731,130893,2.4504455593829566,0,0,0,89.8
